id,data
0,"No podemos dejar de hacer sonar el caso, hay que darle seguimiento y fama que es de la única forma que la justicia le resuelve al pobre, no dejar de hablar del caso por favor."
1,"Y según la empresa, las cámaras del entorno donde fue encontrada no funcionaban. Ojalá y este caso no se quede sin justicia como muchos otros en este país. 💔"
2,"😢Dios mio, como apagaron el sueño de esa joven,😢"
3,A ley de 4 meses paulita para graduarnos y mira lo que te me hicieron.💔
4,Que raro que no se han filtrado fotos del acosador y que las cámaras de la empresa dique estaban apagadas. Orita fue un jefecito el que la mató
5,Le cortaron las alas de la forma más cruel 😢
6,Si la familia de ESA muchacha tiene dinero se resuelve de una vez ya lo saben pero si no tienen la población debe meter presión para que se resuelva si no no se resuelve
7,La pregunta mía es donde está el compañero que la acosaba porque tiene que estar preso tienen que buscar lo porque tanto que públican que si ella esto y aquellos hee este país solo se vive de eso las cosas pasan en un instante y eso es noticia y noticias y luego pasan los dos y se olvidan del asunto caramba están dormidos en este país ufff
8,Por qué no suben foto del acosador? Por qué la empresa no entrega las cámaras
9,"Que casualidad que las cámaras no funcionaban, tengo entendido que él seguridad estuvo un tiempo preso, ósea que en esa zona franca, los empleados no saben si trabajan con asesinos, y no depuran a las personas con antescedentes penales? Por que no tomaron en cuenta cuando ella fue a recursos humanos a decir que la estaban acosando? Quien la encontró? Como sabían que estaba en esa alcantarilla? Donde estaban los demás seguridad? Para ayudarla."
10,"Pobre muchacha, qué pena me da este caso.😢"
11,Esa empresa debe ser investigada y el departamento de recursos humanos tiene la queja de quien fue el agresor
12,Que pena😪 ahí debe de estar preso hasta el seguridad hasta que todo se aclare y se haga justicia!
13,Pobrecita quería volar alto y no la dejaron💔
14,"Ay Dios, esa noticia me ha caído tan mal. 😞"
15,Yo siento que el que la acoso tiene gente con dinero que le han resuelto porque es demasiada coincidencia de que las cámaras no funcionen y de que la empresa no haya denunciado con nombre y apellido al principal sospecho de su muerte nosé ahí hay algo raro
16,Dios que impotencia 😭😭😭
17,"Pobre chica, cuanta pena me ha dado este caso"
18,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 ELLOS le robaron su sueño 😡😡😡😡
19,Pero no dicen quien era el compañero se supone que si lo reporto a Recursos Humanos alguien debe tener el nombre de el
20,"Cosa de vida, estar muerto para darle el tiempo, oportunidad y ayudar en su vida"
21,Queremos justicia para esa joven trabajadora murió en su trabajo no es justo que no aparezca la cámara 🎥
22,Diantre pobre muchacha no pudo realizar sus sueños 😢😔por unos azarosos…
23,"Debe haber muchas mujeres pasando por esa misma situación por miedo a perder su trabajo es muy triste y lamentable que estén pasando casos frente a la vista de todos y que nadie haga nada para proteger tú integridad aquí en este país cuando ella ya lo había puesto sobre aviso,no imagino lo que pasó ella para salvarse y no poner atención y en conocimiento lo sucedido, muy lamentable paz a su alma y fortaleza para toda su familia. Esperamos todo el peso de la ley"
24,Y vinieron y esos hijos de y decidieron que ella no podía cumplirlo 😭😭😭😭 papá Dios líbrame padre
25,Esa tarjedia me tiene aterrada
26,Qué pena Dios mío toma el control de ese caso porque los pobres no tenemos justicia en este país sólo los ricos tiene justicia una joven trabajadora y casi profesional Dios que dolor tiene el pueblo dominicano a mirar esta noticia tan fuerte 😢😢😢
27,"Muy triste, me duele que las pocas personas que deciden salir adelante de manera correcta le arrebaten la vida, ojalá y den con los responsables, lastima que en este país la pena maxima es de 30 años 😢😢"
28,"Quien la encontró en la alcantarilla , eso está sospechoso"
29,Eso tiene que ser un jefecito que se aprovechó de su cargo para acabar con la vida de esa joven 😢 que pena e impotencia dan esas cosas rápenos que el responsable pague por lo que hizo para que el pueblo no tenga que hacer justicia
30,Dios mio ten misericordia de tu pueblo
31,Ay ombe pobre joven espero se sepa algo y no se quede en el aire es muy triste que nadie pague por esto 😢😢😢
32,"La empresa es la principal culpable de este caso, porque no hicieron nada cuando ella denuncio el acoso del estardarte aquel y mira a lo que llegó.."
33,Pibrecita se ve una jovencita muy humilde y con grandes metas Como ese desamprensivo le hizo dano a ella y su famila
34,"No fue en las afueras, fue en loa adentros y en horas dentro de su horario de trabajo. @sisalrilrd que investigue eso y @mtrabajord"
35,"Ahi hay algo más, pobre muchacha"
36,Muertes así yo nunca ni las voy digerir ni tampoco las voy a entender....
37,"Pero ni el nombre del acosador se sabe, no se dice nada del santo, no muestran su rostro nada ...."
38,Y cuando será que van a dar el nombre de ese fat..!!! ni que fuera tan difícil
39,Deben investigar a los empleados...a todos los compañeros de trabajo....alguien debe saber quien cometió esa monstruosidad
40,Cada día confío menos en la gente.
41,"Señor presidente, Tolentino; Vamos hay que buscar los culpables"
42,"Sólo tengo que decir Dios me libre, porque yo cómo madre mi hija me dice que hay alguien que la está asediando de mala manera, salgo en casería 👿"
43,Esperemos que al culpable lo lleven a la plaza de la bandera para hacer un ejemplo con ese
44,Quien se le llevo la vida debe pagar con la suya misma ....
45,"No se ha dicho ni papa del acosador, el mismo que ella denunció y nadie le hizo caso, ahora van hacer un show con su muerte y nadie dirá nada del acosador, de ¿Quién diablos es? ... 😒"
46,Si las cámaras no funcionaban vayan y hagan que nada funcione..Se supone estuviera protegida en ese lugar
47,Avece la vida es un poco injusta 😢😢😢😢
48,Esto da una impotencia 😢
49,Dios mio pobre chica dios nos libre nuestros hijos
50,Que se haga justicia😢🥺💔
51,Aqui nadie sales a defender este caso.
52,Que tristeza.
53,💔💔💔
54,😢
55,😢💔
56,Que pena cuanta maldad en este mundo
57,💔
58,😢😢😢
59,Que triste y de qué manera Joven con presente y futuro mejor😢😢😢😢😢😢
60,😢😢😢😢😢😢😢
61,Felicity 😄
62,🌹trouble
63,😢🥺🥺
64,Hay jesucristo😢
65,Eso suele pasar mucho y nadie ase nada cuando está acosando a una persona no tenemos apoyo aquí solo ve la cosa cuando pasa
66,😢😢😢😢
67,😢
68,😢😢
69,😢
70,😢
71,😢😢
72,😢😢😢😢
73,😢
74,",paz a su Alma."
75,Ese acto de violencia no puede quedar impune. Dios!
76,Que pena 🥺
77,Deben sancionar la empresa y los sospechosos investigarlos bien
78,Que dolor debe sentir esa familia 😢
79,😢😢😢😢😢😢
80,💔💔
81,Que pague el culpable
82,😢😢😢
83,😢
84,😢😢
85,😢😢😢😢😢😢😢😢
86,Omg🙏🙏🙏paz asu alma ke triste🙏💔🙏
87,El tipo tiene que estar ya detenido para investigación
88,😢
89,😢😢
90,Muy lamentable. 🥺
91,Dios mío justicia para esa joven descanso eterno para ella conformidad a sus familias 🙏🏻🙏🏻🥲🥲🥲🥲
92,"Los recuersos humanos en muchas empresas están de adorno, si te quejas te despiden"
93,"Ay Dios, pero que caso tan triste!!! Que Dios muestre los culpables para que su alma pueda descansar en paz!!!"
94,Pobre niña Dios mio
95,😢😢
96,Wow que pena. 😢😢
97,Que lastima pobre Joven espero que encuentren los culpables
98,😢😢
99,😢
100,😢😢😢
101,Oh señor líbranos señor líbranos señor
102,😢😢😢😢
103,Pobre niña tenía ya el estilo de azafata ojalá puedan encontrar al culpable para que pueda descansar en paz y su familia tengan un poco de consuelo 😢
104,Que ese caso no lo engabeten como muchos y se le haga justicia
105,😢😢😢😢
106,Investiguen a fondo para que se haga justicia
107,😢😢😢😢😢😢😢😢
108,😢😢😢😢😢😢
109,Como le tronchan todo sus sueños una joven con toda una vida por delante 😢
110,JUSTICIA!
111,😢😢que dios la tenga en gloria dios mio ya ni trabajando se salva uno ojala y encuentren los culpables
112,"Investiguen, investiguen AUTORIDADES !!"
113,"El que hizo esta barbaridad que le metan 30, porque no hay más en 🇩🇴"
114,😢😢😢😢😢😢
115,Sin palabras 💔💔💔💔💔💔💔
116,❤👏👏👏
117,😢😢😢😢😢
118,😔😔😔😔😔😔😔💔💔
119,😢
120,😢 Wao...ese horario de trabajo es peligroso para mujeres ojalá den con el culpable 😢
121,"😢😢😢 espero que le den seguimiento, como al caso del hijo del doctor bye"
122,❤️
123,😢
124,😢😢😢😢😢😢
125,😢😢😢
126,😢😢
127,😢😢😢
128,😢
129,Que abuso 😡
130,😢😢😢😢😢
131,😢😢
132,😢
133,😢😢
134,Dios mío k pena
135,Dios mío!!! 💔💔
136,Y la foto del acosador para cuando?
137,Dios todo el k setira foto con estas alas muere después 😮ceñol ten misericordia de sus familiares 🙏
138,😢
139,😢😢😢😢
140,😢 cada cosa que leo y veo sobre me duele en el alma 😢
141,Que triste caso
142,Justicia
143,"@juventudrd ,@mininteriorrd , @mmujerrd"
144,😢.
145,Asi es RD
146,😢😢
147,😢
148,😭😭😭😭
149,Oyeme pero y que es lo que está pasando en este pais
150,😢
151,Duele 😢😢😢
152,Que demanden la empresa son lo culpables por no mediar si no lo querían despedir lo podían mandar para otro turno
153,Esperemos que le hagan la prueba de violacjon y al “compañero “ para que el ADM coincida y no titubeen mucho para que le den 20
154,El señor tenga misericordia de él culpable
155,Pura casualidad k las camara de una empresa no funciones eso es mentira están guardando al implicado k pague por lok ISO kitarle la vida a esa pobre muchacha yena de vida y sueños
156,Wow que pena Dios mío😢
157,😢😢
158,Que pena ojalá se le haga justicia paz a su alma
159,Kk cc lo mochen
160,😢😢😢
161,Esperemos justicia ante este y muchos casos mas matando sueños gente buena ala sociedad y les rebatan la vida como si fueran moscas por no ofender
162,Que dolor tiene esa madre Dios mío😢
